close_date,exchange_rate_br
13/05/2016 23:58:00,3.5302
16/05/2016 23:58:00,3.4945
17/05/2016 23:58:00,3.4861
18/05/2016 23:58:00,3.5585
19/05/2016 23:58:00,3.5609
20/05/2016 23:58:00,3.5573
22/05/2016 23:58:00,3.5573
23/05/2016 23:58:00,3.5665
24/05/2016 23:58:00,3.5673
25/05/2016 23:58:00,3.5769
26/05/2016 23:58:00,3.5827
27/05/2016 23:58:00,3.6089
29/05/2016 23:58:00,3.6089
30/05/2016 23:58:00,3.5674
31/05/2016 23:58:00,3.5832
01/06/2016 23:58:00,3.591
02/06/2016 23:58:00,3.5801
03/06/2016 23:58:00,3.5245
06/06/2016 23:58:00,3.4845
07/06/2016 23:58:00,3.4349
08/06/2016 23:58:00,3.3575
09/06/2016 23:58:00,3.3959
10/06/2016 23:58:00,3.4158
13/06/2016 23:58:00,3.4773
14/06/2016 23:58:00,3.4751
15/06/2016 23:58:00,3.4693
16/06/2016 23:58:00,3.4612
17/06/2016 23:58:00,3.4128
19/06/2016 23:58:00,3.4128
20/06/2016 23:58:00,3.3917
21/06/2016 23:58:00,3.4121
22/06/2016 23:58:00,3.3743
23/06/2016 23:58:00,3.337
24/06/2016 23:58:00,3.3677
27/06/2016 23:58:00,3.3893
28/06/2016 23:58:00,3.3025
29/06/2016 23:58:00,3.2376
30/06/2016 23:58:00,3.2059
01/07/2016 23:58:00,3.2332
02/07/2016 23:58:00,3.2306
04/07/2016 23:58:00,3.2885
05/07/2016 23:58:00,3.2991
06/07/2016 23:58:00,3.327
07/07/2016 23:58:00,3.3611
08/07/2016 23:58:00,3.2952
09/07/2016 23:58:00,3.2977
11/07/2016 23:58:00,3.3072
12/07/2016 23:58:00,3.2935
13/07/2016 23:58:00,3.2616
14/07/2016 23:58:00,3.2484
15/07/2016 23:58:00,3.2591
16/07/2016 23:58:00,3.2766
18/07/2016 23:58:00,3.2494
19/07/2016 23:58:00,3.2479
20/07/2016 23:58:00,3.2527
21/07/2016 23:58:00,3.2686
22/07/2016 23:58:00,3.2515
25/07/2016 23:58:00,3.2821
26/07/2016 23:58:00,3.27
27/07/2016 23:58:00,3.2586
28/07/2016 23:58:00,3.2819
29/07/2016 23:58:00,3.2468
30/07/2016 23:58:00,3.2462
01/08/2016 23:58:00,3.2584
02/08/2016 23:58:00,3.2528
03/08/2016 23:58:00,3.2346
04/08/2016 23:58:00,3.1869
